"","Date","region","total confirmed cases","new cases","interventions"
"424",2020-03-12,"NSW",78,13,NA
"425",2020-03-12,"WA",9,0,NA
"426",2020-03-12,"VIC",21,0,NA
"427",2020-03-12,"SA",12,3,NA
"428",2020-03-12,"ACT",1,1,NA
"429",2020-03-12,"NT",8,0,NA
"430",2020-03-12,"QLD",27,7,NA
"431",2020-03-12,"TAS",3,0,NA
"432",2020-03-12,"AUS",159,14,NA
"433",2020-03-13,"NSW",92,14,NA
"434",2020-03-13,"WA",14,5,NA
"435",2020-03-13,"VIC",36,15,NA
"436",2020-03-13,"SA",16,4,NA
"437",2020-03-13,"ACT",1,0,NA
"438",2020-03-13,"NT",8,0,NA
"439",2020-03-13,"QLD",35,8,NA
"440",2020-03-13,"TAS",4,1,NA
"441",2020-03-13,"AUS",206,47,NA
"442",2020-03-14,"NSW",112,20,NA
"443",2020-03-14,"WA",14,0,NA
"444",2020-03-14,"VIC",49,13,NA
"445",2020-03-14,"SA",19,3,NA
"446",2020-03-14,"ACT",1,0,NA
"447",2020-03-14,"NT",8,0,NA
"448",2020-03-14,"QLD",46,11,NA
"449",2020-03-14,"TAS",5,1,NA
"450",2020-03-14,"AUS",254,48,NA
"451",2020-03-15,"NSW",134,22,"Secretary of NSW Dept. of Education orders schools to introduce social distancing."
"452",2020-03-15,"WA",14,0,"Premier declares a state of emergency along with a formal public health emergency."
"453",2020-03-15,"VIC",57,8,NA
"454",2020-03-15,"SA",20,1,"Public health emergency is declared."
"455",2020-03-15,"ACT",1,0,NA
"456",2020-03-15,"NT",8,0,NA
"457",2020-03-15,"QLD",61,15,NA
"458",2020-03-15,"TAS",7,2,NA
"459",2020-03-15,"AUS",302,48,"Gatherings of 500+ people are cancelled"
"460",2020-03-16,"NSW",171,37,"All public events with 500+ attendees are immediately and indefinitely cancelled."
"461",2020-03-16,"WA",28,14,NA
"462",2020-03-16,"VIC",71,14,"State of emergency is declared and set to expire on 13/04/2020."
"463",2020-03-16,"SA",29,9,NA
"464",2020-03-16,"ACT",2,1,"A public health emergency is declared."
"465",2020-03-16,"NT",8,0,NA
"466",2020-03-16,"QLD",68,7,NA
"467",2020-03-16,"TAS",7,0,NA
"468",2020-03-16,"AUS",384,82,"All arrivals to Australia must self-isolate; cruise ships are banned from docking for 30 days"
"469",2020-03-17,"NSW",210,39,NA
"470",2020-03-17,"WA",31,3,NA
"471",2020-03-17,"VIC",94,23,NA
"472",2020-03-17,"SA",32,3,NA
"473",2020-03-17,"ACT",2,0,NA
"474",2020-03-17,"NT",8,0,"A state of emergency is declared and a 32-day travel ban imposed on Norfolk Island."
"475",2020-03-17,"QLD",78,10,NA
"476",2020-03-17,"TAS",7,0,"A public health emergency is declared"
"477",2020-03-17,"AUS",462,78,NA
"478",2020-03-18,"NSW",267,57,NA
